133,63
127,66
121,70
115,73
109,77
103,80
97,84
90,88
136,67
130,71
124,74
118,78
112,82
106,85
100,89
94,93
140,72
134,75
128,79
122,83
116,86
109,90
103,94
97,98
144,76
138,80
132,84
125,87
119,91
113,95
107,99
100,103
148,81
142,85
135,89
129,92
123,96
116,100
110,104
104,108
152,86
145,90
139,94
133,97
126,101
120,105
114,109
107,113
156,91
149,95
143,99
137,103
130,107
124,111
117,115
111,119
160,96
154,100
147,104
141,108
134,112
128,116
121,120
114,124
164,102
158,105
151,110
145,114
138,118
131,122
125,126
118,130
169,107
162,111
155,115
149,119
142,123
136,128
129,132
122,136
173,113
167,117
160,121
153,125
146,129
140,133
133,138
126,142
